id,kind,lat,lng,r
40000171,1,19.9868775,110.3137205,1470
40000225,1,19.6298215,110.9509275,4077
3322200,1,19.1833330,110.4065559,14769
3322201,1,19.1020528,110.5017665,14896
133600,1,19.9192363,110.4141834,14539
133601,1,19.9516066,110.5041613,14502
960001587,0,20.0205067,110.3766394,500
960001564,0,20.0228064,110.3443502,500
4000217200,1,21.5236604,110.5459134,14980
4000217201,1,21.4437266,110.6415345,14978
4000011600,1,22.4835967,110.1436548,14287
4000011601,1,22.3828799,110.0971521,14289
3028602400,1,23.4528609,111.1289792,14491
3028602401,1,23.3532886,111.0696643,14494
3028602600,1,26.8565034,110.6582408,14016
3028602601,1,26.7559545,110.6243133,14018
386600,1,26.2974795,111.6384508,14130
386601,1,26.3858473,111.5819063,14118
178100,1,28.8722979,111.6381684,13286
178101,1,28.9643882,111.6415052,13556
902400,1,30.5852416,111.4208502,14406
902401,1,30.5279922,111.5374659,14527
77300,1,29.0689630,110.3908197,13995
77301,1,29.1393325,110.4891772,13986
3321800,1,31.5850099,110.3793483,13772
3321801,1,31.6691802,110.2972678,13678
3322000,1,32.6210341,110.8483587,14304
3322001,1,32.5654978,110.9649485,14208
3320200,1,36.1758094,111.6052933,13765
3320201,1,36.0925094,111.6771893,13786
892300,1,35.0836836,110.9787500,14281
892301,1,35.1491823,111.0838667,14277
3335800,1,37.6385781,111.1791365,14019
3335801,1,37.7250146,111.1068206,14019
40002372,1,40.1939007,111.3588755,2497
139800,1,40.8089739,111.7666666,14367
139801,1,40.8867733,111.8800123,14462
960001557,0,40.8184105,111.7580471,500
3277300,1,43.4316350,112.0228339,13749
3277301,1,43.4150154,112.1554419,13671
40045074,0,22.1377750,113.5786110,160
40045114,0,22.1672440,113.5297910,1000
40045081,1,22.1492388,113.5914903,4822
872400,1,22.6808259,113.7473554,15146
872401,1,22.5983425,113.8568012,15027
40002466,1,22.2559123,113.8530439,51
40045070,0,22.1958890,113.5531110,102
884100,1,21.9584514,113.3427505,15138
884101,1,22.0565437,113.4090786,15148
40002459,1,22.2997876,113.9314908,29
4000220000,1,22.3020836,113.9161692,4860
4000220001,1,22.3160835,113.9138355,4767
40045092,0,22.1900000,113.5379170,98
40045134,0,22.1615560,113.5486110,107
40045077,0,22.1186940,113.5544720,65
40045121,0,22.1830830,113.5404720,50
40045116,0,22.1849170,113.5341110,74
40047711,0,22.1352940,113.5775470,222
33375,0,22.5300000,113.5633330,1000
33334,0,22.3716910,114.0248170,150
33333,0,22.3653610,114.0172180,150
40042430,0,22.3154348,114.0455601,2500
40047712,0,22.1320970,113.5893640,375
40045139,0,22.1517220,113.5571940,189
40045125,0,22.1944720,113.5495280,82
40045086,0,22.2113610,113.5404720,109
33376,0,22.4983330,113.9016670,1000
40045106,0,22.1476110,113.5445000,1000
10690,0,22.2242920,113.8948240,161
40045144,0,22.1936110,113.5507220,107
40045098,0,22.1867780,113.5360560,70
40045085,0,22.1194440,113.5549720,102
40045108,0,22.1834720,113.5400000,50
40045113,0,22.1969720,113.5591670,1000
40045115,0,22.1660630,113.5772220,1000
960003605,1,22.5803498,113.9384178,132
960003606,1,22.5803498,113.9384178,132
960003791,1,22.5865034,113.9396041,12
4000174600,1,25.0168987,113.3703772,14373
4000174601,1,24.9387420,113.4699119,14372
164800,1,23.3397825,113.2970893,14568
164801,1,23.4393764,113.3023032,14454
865200,1,23.0354548,113.0711446,13827
865201,1,23.1309074,113.0714751,13827
960001563,0,23.1359180,113.2615851,500
960001586,0,23.1188380,113.2914299,500
960003145,1,23.2869338,113.6741512,19
4000160600,1,25.7934647,112.8924602,14258
4000160601,1,25.7133954,112.7986447,14263
150900,1,26.6726887,112.5879420,14215
150901,1,26.7706285,112.6470677,14320
205300,1,28.1908269,113.2444756,19021
205301,1,28.1933462,113.1983870,18764
960001598,0,28.2064570,112.9935891,500
960001578,0,28.1194067,112.9774743,500
4000002300,1,29.2700229,113.3020564,14157
4000002301,1,29.3555600,113.2611364,14157
4000160200,1,30.3364116,112.4313384,14127
4000160201,1,30.2491174,112.4653624,14126
776100,1,32.1968170,112.2876373,13557
776101,1,32.1039827,112.2940144,13317
430300,1,32.9317819,112.5813362,14581
430301,1,33.0323185,112.6522952,14549
179100,1,34.5191657,113.8287860,19068
